name,platform,version,vendorConsents,purposeConsents,publisherConsents,publisherCustomConsents
network.tracker.app,ios,3.9.9,139,10,0,0
com.veraxen.colorbynumber.oilpainting,android,1.15.1,800,10,0,0
com.tripadvisor.tripadvisor,android,46.4,783,10,10,0
de.heise.news4,ios,6.6.4,158,10,0,0
com.vialsoft.ifahrschultheoriefree,android,3.5,800,10,0,0
aplicacion.tiempo,android,7.6.4_free,861,10,0,0
de.bfv.ios,ios,6.113.0,124,10,0,0
com.buzzfeed.tasty,ios,2.74,729,10,0,0
net.faz.einspruch,ios,11.18.1,104,10,0,0
com.thomsonreuters.Reuters,ios,5.1,800,10,10,0
com.anuntis.fotocasa,android,7.116.0,800,10,0,0
de.motorpresse.automotorundsportnews,ios,6.6.0,0,0,0,0
LiveScore,ios,5.12.1,496,10,10,0
com.ebay.kleinanzeigen,android,13.14.0,786,10,0,5
de.leasingmarkt.app,android,3.22.2,193,10,0,0
de.sueddeutschezeitung.sueddeutschezeitung,ios,4.4.1,0,0,0,0
de.bvb09.android,android,3.0.7,1,5,5,0
de.telekom.FuelCompanion,ios,2.9.1,143,10,0,0
de.zeit.online,ios,2.0.8,117,10,0,0
de.suedkurier.skmobil,ios,2.18.2,2,4,0,0
de.dfb.teampunkt,ios,2.5.4,193,10,0,0
com.rtlinteractive.tvnow,ios,4.3.1,116,10,0,0
de.axelspringer.weltipad,ios,404,2,9,0,0
de.antenne.eple,ios,4.13,0,0,0,0
de.zeit.online,android,2.1.4,117,10,0,0
de.bfv.teamapp.ios,ios,2.5.4,1,9,0,0
de.gstmb.podcasts,ios,2.3.0,0,0,0,0
net.faz.FAZiPad,ios,7.8,104,10,0,0
com.pointabout.washingtonpost,ios,6.2.0,34,10,10,0
de.pixelhouse.chefkoch-iphone,ios,3.2.1,104,10,0,0
de.mobile.iphone,ios,9.1.0,787,10,0,3
de.adesso.SZnewsreaderFree,ios,14.5.0,117,10,0,0
de.sky.online,android,29.0.0,2,10,0,0
com.musicasto.app,ios,1.0,762,10,0,0
com.handelsblatt.liveapp,ios,3.3.3,117,10,0,0
com.itwcalculator.weatherplusfree,ios,4.11.18,860,10,10,0
com.wetter.iosclient,ios,1.37.6,682,10,0,0
com.impalastudios.theweatherfree,ios,1.7.12,860,10,10,0
com.rtlinteractive.wetter.de,ios,9.8.0,117,10,0,0
de.rtlinteractive.inside,ios,6.0.8,117,10,0,0
com.elokence.akinator.free,ios,8.15,674,10,0,0
com.cu4uc.metronomeReloaded,ios,3.3,139,10,0,0
de.grunerundjahr.sternneu,ios,8.2.0,96,10,0,0
fm.castbox.audiobook.radio.podcast,ios,8.32.0,139,10,10,0
com.impalastudios.pianofree,ios,2.1.9,860,10,10,0
de.dumont.ksta,ios,1.0.6,139,10,0,0
com.autoscout24.lab,ios,14.0.5,200,10,0,0
de.inforoad.cleverTanken,ios,7.0.5,218,10,0,0
es.eltiempo.weatherapphd,ios,7.0.8,800,10,0,0
com.itwcalculator.worldradarfree,ios,3.8.16,860,10,10,0
com.itwcalculator.calculatorforipadfree,ios,6.5.5,860,10,10,0
de.nrj.NRJDE,ios,8.0.2,800,10,0,0
eu.pons.dictionary,ios,4.3.5,793,10,10,0
com.vinnov.Living-Weather-HD-free,ios,5.1.2,139,10,0,0
ios.aplicacion.tiempo-com,ios,5.2.1,861,10,0,0
de.immoscout.immoscout,ios,23.13.1,317,10,0,0
de.leasingmarkt.app,ios,3.22.2,194,10,0,0
de.autobild.autobild,ios,276.47,218,10,0,0
de.formel1,android,3.7.9,108,10,10,0